order_id,customer_id,customer_name,product_id,product_category,shift_type,location,order_date,price,is_defect
bdd640fb-0667-4ad1-9c80-317fa3b1799d,23b8c1e9-3924-46de-beb1-3b9046685257,Olaf van der Spaendonc,0822e8f3-6c03-4199-972a-846916419f82,Touring,Night,Utrecht,27/06/2024,333.76,0
815ef6d1-3b8f-4a18-b7f8-a88b17fc695a,32e70629-8fad-41a6-86cb-0fb39a1de644,Esmée van Haeften,de8a774b-cf36-458b-8737-819096da1dac,Road,Evening,Eindhoven,2024-06-09,"€1386,31",0
b2b9437a-28df-4ec4-8e4a-2bbdc241330b,27cd8130-4722-4389-971a-a8766c307511,Wouter Verwoert-Goyaerts van Waderle,5be6128e-18c2-4797-a142-ea7d17be3111,Folding,Day,Amsterdam,2026-03-24,2922.70,0
ce9ff57f-43b7-43a6-9a8d-ca03580d7b71,89463e85-759c-4e66-bacf-b3d00b1f9163,Yusuf de Groot,d453dd32-4b0d-4b41-8d52-88f1142c3fe8,Folding,Evening, ,2025-10-05,2085.68,0
5c941cf0-dc98-42c1-a2ac-f72f9e574f7a,11ce5dd2-b45e-41f0-b139-d32c93cd59bf,Niels Oda,146d3f31-fc37-4a4c-8a15-544dc5e7ce8a,Folding,Weekend,Eindhoven,2026-03-30,2031.21,0
614ff3d7-19db-4ad0-9dd1-dfb23b982ef8,d58842de-a2bc-472f-b412-b29347294739,Elena Zwijsen,4458a885-ab90-49a4-b5a2-40ae5af30553,Kids,Weekend,N/A,01/12/2025,1051.14,0
12476f57-a5e5-45ab-aefc-fad8efc89849,88bd6407-2bcf-4e01-a28d-efe39bf00273,Daniël van Leuven-de Gruijl,a3d70628-ece6-4fa2-bd51-66e6451b4cf3,Road,Day,N/A,2025-11-20,"€438,19",0
5304317f-af42-412f-b838-b3268e944239,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,Sjoerd Bos-Totwiller,3602f8ac-10f1-4c81-848a-aa9e66b2bc5b,Road,Weekend,Utrecht,2026-05-14,2226.21,0
b7c93acf-e059-40ee-9132-b63ef16287e4,7fcd9eb1-a7ca-4415-b66e-b16f508ebad7,Sophia van Kusen,3f22faf8-23be-401d-83cf-2fde24933b83,Touring,Evening,Rotterdam,2026-01-03,"€2055,88",0
bf3c4c06-4343-48bc-89fa-6a688fb5d27b,956269f0-e5d7-4875-adad-d6c795a76d79,Isabelle Mosley,827050a8-2369-4584-bf5e-9ff0ff50bde4,Kids,Evening,Rotterdam,2025-06-22,"€1904,00",0
